,Label,Skin Type,Characteristics,Skincare Recommendations,Soap Recommendation,Cream Recommendation,Scrub Recommendation,Face Cleanser Recommendation,Face Cream Recommendation,Common Skin Concerns
174,175,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
175,176,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
176,177,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
177,178,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
178,179,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
179,180,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
180,181,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
181,182,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
182,183,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
183,184,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
184,185,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
185,186,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
186,187,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
187,188,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
188,189,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
189,190,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
190,191,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
191,192,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
192,193,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
